name,deal,price,type
Anthem,Lonestar Draft,3,Drink
Anthem,Select Wine by the Glass,4,Drink
Anthem,House Margarita,5,Drink
Anthem,Frozen Blood Orange Margarita,6,Drink
Anthem,Frozen Banana Daiquiri,6,Drink
Anthem,Select Cocktails,7,Drink
Anthem,Salted,4,Food
Anthem,Spicy,4.00,Food
Anthem,Shishito Pepper Queso,5,Food
Anthem,Chips & Guac,6,Food
Anthem,Hong Kong Waffle,7,Food
Anthem,Upside Down Pineapple Bread Pudding,7,Food
Anthem,Yummy Fries,10,Food
Anthem,Jfc Popcorn Chicken,10,Food
Arlo Grey,Shiner Bock,4,Drink
Arlo Grey,ABW. PearlSnap Pilsner,4,Drink
Arlo Grey,Wine,6,Drink
Arlo Grey,Sundown Cobbler,9,Drink
Arlo Grey,Il Fico,9,Drink
Arlo Grey,Wicked Warden,9,Drink
Arlo Grey,Snow Cobbler,9,Drink
Arlo Grey,Mocking Bird,12,Drink
Arlo Grey,Harvet Spritz,13,Drink
Arlo Grey,Freetail,13,Drink
Arlo Grey,Nighthawk,14,Drink
Arlo Grey,Wild Side,14,Drink
Arlo Grey,Strawberry Moon,14,Drink
Arlo Grey,Persephone's Negroni,15,Drink
Arlo Grey,PG Martini,15,Drink
Arlo Grey,Housemade Pickles,6,Food
Arlo Grey,Spiced Pecans,6,Food
Arlo Grey,Housemade Pita Bread,6,Food
Arlo Grey,Patatas Bravas,10,Food
Arlo Grey,Hydroponic Greens Salad,10,Food
Arlo Grey,Roasted Tomato Dip,11,Food
Arlo Grey,Tzatziki,12,Food
Arlo Grey,Little Gem Caesar,12,Food
Arlo Grey,Charred Cauliflower & Romanesco,12,Food
Arlo Grey,Whipped Ricotta,15,Food
Arlo Grey,Local Wagyu Beef Carpaccio,17,Food
Arlo Grey,Local Parmesan Grits,21,Food
Arlo Grey,Saffron Pappardelle,23,Food
Arlo Grey,Artisanal Cheeses,25,Food
Arlo Grey,Charcuterie & House Pate,25,Food
Bar Peached,Draft Beer,5,Drink
Bar Peached,Wine,6,Drink
Bar Peached,Draft Cocktails,7,Drink
Bar Peached,Tacos,4,Food
Bar Peached,Snacks,5,Food
Bar Peached,A Little More,7,Food
Better Half Coffee & Cocktails,High Life,2.00,Drink
Better Half Coffee & Cocktails,Kolsch,3,Drink
Better Half Coffee & Cocktails,Sangria,6,Drink
Better Half Coffee & Cocktails,Cheeseburgers,6,Food
Black Star Co-Op,House Beer,4,Drink
Black Star Co-Op,House Wine,5,Drink
Black Star Co-Op,Snacks,6,Food
Bufalina Pizza,House Wine by the Glass,5,Drink
Central Standard,Select Cocktails,2,Drink
