name,address,website
Anthem,"91 Rainey St #120, Austin, TX, 78701, USA",https://eatdrinkanthem.com/
Arlo Grey,"111 E Cesar Chavez St, Austin, TX, 78701, USA",https://www.thelinehotel.com/
Bar Peached,"1315 W 6th St, Austin, TX, 78703, USA",https://barpeached.com/
Better Half Coffee  Cocktails,"406 Walsh St, Austin, TX, 78703, USA",https://www.betterhalfbar.com/
Black Star Co-Op,"7020 Easy Wind Dr, Austin, TX, 78752, USA",https://blackstar.coop/
Bufalina Pizza,"1519 E Cesar Chavez St #200, Austin, TX, 78702, USA",https://www.bufalinapizza.com/
Central Standard,"1603 S Congress Ave, Austin, TX, 78704, USA",https://centralstandardaustin.com/
Clark Oyster Bar,"1200 W 6th St, Austin, TX, 78703, USA",https://clarksaustin.com/
Contigo,"2027 Anchor Ln, Austin, TX, 78723, USA",https://contigotexas.com/
Culinary Dropout,"11721 Rock Rose Ave #100, Austin, TX, 78758, USA",https://www.culinarydropout.com/
Dave &#038; Buster,"9333 Research Blvd #A600, Austin, TX, 78759, USA",https://www.daveandbusters.com/locations/austin
DuMont Down Low,"214 W 4th St Suite B, Austin, TX, 78701, USA",https://dumontsaustin.com/
Fixe Southern House,"500 W 5th St, Austin, TX, 78701, USA",https://fixesouthernhouse.com/
Foreign  Domestic,"306 E 53rd St, Austin, TX, 78751, USA",http://fndaustin.com/
Hank,"5811 Berkman Dr, Austin, TX, 78723, USA",https://www.hanksaustin.com/
Hideaway Kitchen  Bar,"4323 S IH 35 Frontage Rd, Austin, TX, 78744, USA",https://www.hideawayatx.com/ 
Irene,"506 West Ave, Austin, TX, 78701, USA",http://irenesaustin.com/
Josephine House,"1601 Waterston Ave, Austin, TX, 78703, USA",https://josephineofaustin.com/
Juliet Italian Kitchen,"1500 Barton Springs Rd, Austin, TX, 78704, USA",http://www.juliet-austin.com/
La Condesa,"400 W 2nd St A, Austin, TX, 78701, USA",https://lacondesa.com/
Lamberts,"401 W 2nd St, Austin, TX, 78701, USA",https://lambertsaustin.com/
Nightcap,"1401 W 6th St, Austin, TX, 78703, USA",https://www.nightcapaustin.com/
Olive  June,"3411 Glenview Ave, Austin, TX, 78703, USA",http://oliveandjune-austin.com/
Péché,"208 W 4th St, Austin, TX, 78701, USA",https://www.pecheaustin.com/
Perla,"1400 S Congress Ave, Austin, TX, 78704, USA",https://perlasaustin.com/
Scholz Garten,"1607 San Jacinto Blvd, Austin, TX, 78701, USA",http://www.scholzgarten.com/
She Not Here,"440 W 2nd St, Austin, TX, 78701, USA",https://www.snhaustin.com/
Swift Attic,"315 Congress Ave, Austin, TX, 78701, USA",https://swiftsattic.com/
The Roosevelt Room,"307 W 5th St, Austin, TX, 78701, USA",https://www.therooseveltroomatx.com/
Trulucks Arboretum,"10225 Research Blvd #4000, Austin, TX, 78759, USA",https://trulucks.com/locations/arboretum-austin-texas/
Trulucks Downtown,"400 Colorado St, Austin, TX, 78701, USA",https://trulucks.com/locations/downtown-austin-texas/
Uchiko,"4200 N Lamar Blvd, Austin, TX, 78756, USA",https://uchikoaustin.com/
Uncle Nicky,"4222 Duval St, Austin, TX, 78751, USA",https://www.unclenickys.com/
Vamonos,"4807 Airport Blvd, Austin, TX, 78751, USA",http://vamonos-texmex.com/
W Austin,"200 Lavaca St, Austin, TX, 78701, USA",https://www.marriott.com/hotels/hotel-information/restaurant/auswh-w-austin/
